0.187 	 0.009072 	 1.049252 	 0.25 
0.188 	 0.009196 	 1.049138 	 0.25 
0.189 	 0.009321 	 1.049019 	 0.25 
0.190 	 0.009446 	 1.048897 	 0.25 
0.191 	 0.009572 	 1.048771 	 0.25 
0.192 	 0.009699 	 1.048641 	 0.25 
0.193 	 0.009826 	 1.048507 	 0.25 
0.194 	 0.009955 	 1.048369 	 0.25 
0.195 	 0.010084 	 1.048227 	 0.25 
0.196 	 0.010214 	 1.048081 	 0.25 
0.197 	 0.010344 	 1.047932 	 0.25 
0.198 	 0.010476 	 1.047779 	 0.25 
0.199 	 0.010608 	 1.047622 	 0.25 
0.200 	 0.010741 	 1.047461 	 0.25 
0.201 	 0.010874 	 1.047297 	 0.25 
0.202 	 0.011009 	 1.047129 	 0.25 
0.203 	 0.011144 	 1.046957 	 0.25 
0.204 	 0.011279 	 1.046782 	 0.25 
0.205 	 0.011416 	 1.046603 	 0.25 
0.206 	 0.011553 	 1.046421 	 0.25 
0.207 	 0.011691 	 1.046235 	 0.25 
0.208 	 0.011829 	 1.046046 	 0.25 
0.209 	 0.011969 	 1.045853 	 0.25 
0.210 	 0.012109 	 1.045657 	 0.25 
0.211 	 0.012249 	 1.045457 	 0.25 
0.212 	 0.012390 	 1.045255 	 0.25 
0.213 	 0.012532 	 1.045048 	 0.25 
0.214 	 0.012675 	 1.044839 	 0.25 
0.215 	 0.012818 	 1.044626 	 0.25 
0.216 	 0.012962 	 1.044411 	 0.25 
0.217 	 0.013106 	 1.044192 	 0.25 
0.218 	 0.013251 	 1.043970 	 0.25 
0.219 	 0.013397 	 1.043744 	 0.25 
0.220 	 0.013543 	 1.043516 	 0.25 
0.221 	 0.013690 	 1.043285 	 0.25 
0.222 	 0.013837 	 1.043051 	 0.25 
0.223 	 0.013985 	 1.042813 	 0.25 
0.224 	 0.014134 	 1.042573 	 0.25 
0.225 	 0.014283 	 1.042330 	 0.25 
0.226 	 0.014433 	 1.042085 	 0.25 
0.227 	 0.014583 	 1.041836 	 0.25 
0.228 	 0.014734 	 1.041585 	 0.25 
0.229 	 0.014885 	 1.041331 	 0.25 
0.230 	 0.015037 	 1.041074 	 0.25 
0.231 	 0.015189 	 1.040815 	 0.25 
0.232 	 0.015342 	 1.040553 	 0.25 
0.233 	 0.015496 	 1.040289 	 0.25 
0.234 	 0.015649 	 1.040022 	 0.25 
0.235 	 0.015804 	 1.039753 	 0.25 
0.236 	 0.015959 	 1.039481 	 0.25 
0.237 	 0.016114 	 1.039207 	 0.25 
